index,City,Date,Card Type,Exp Type,Gender,Amount,Country,Month,Day
42,Bengaluru,2014-11-10,Platinum,Bills,Female,804938, India,November,Monday
43,Delhi,2015-01-30,Silver,Bills,Female,888341, India,January,Friday
44,Bengaluru,2014-04-19,Platinum,Bills,Female,262414, India,April,Saturday
45,Bengaluru,2014-09-08,Gold,Bills,Female,249353, India,September,Monday
46,Ahmedabad,2013-12-10,Gold,Bills,Female,892016, India,December,Tuesday
47,Ahmedabad,2013-11-04,Platinum,Bills,Female,313626, India,November,Monday
48,Greater Mumbai,2014-06-01,Gold,Bills,Female,314366, India,June,Sunday
49,Greater Mumbai,2014-04-27,Signature,Bills,Female,551340, India,April,Sunday
50,Delhi,2013-10-04,Signature,Bills,Female,735037, India,October,Friday
51,Greater Mumbai,2014-12-31,Platinum,Bills,Female,574023, India,December,Wednesday
52,Ahmedabad,2013-12-21,Signature,Bills,Female,402300, India,December,Saturday
53,Delhi,2013-12-07,Signature,Bills,Female,733125, India,December,Saturday
54,Greater Mumbai,2014-02-07,Signature,Bills,Female,545977, India,February,Friday
55,Bengaluru,2015-05-13,Silver,Bills,Female,371572, India,May,Wednesday
56,Ahmedabad,2015-01-28,Signature,Bills,Female,326283, India,January,Wednesday
57,Delhi,2014-12-09,Platinum,Bills,Female,279051, India,December,Tuesday
58,Delhi,2013-10-08,Platinum,Bills,Female,900101, India,October,Tuesday
59,Ahmedabad,2014-04-24,Silver,Bills,Female,545286, India,April,Thursday
60,Delhi,2015-01-13,Platinum,Bills,Female,722587, India,January,Tuesday
61,Bengaluru,2014-03-14,Platinum,Bills,Female,411062, India,March,Friday
62,Delhi,2014-02-27,Platinum,Bills,Female,660910, India,February,Thursday
63,Greater Mumbai,2013-10-29,Signature,Bills,Female,557370, India,October,Tuesday
64,Greater Mumbai,2014-06-22,Platinum,Bills,Female,549794, India,June,Sunday
65,Delhi,2014-01-23,Platinum,Bills,Female,340133, India,January,Thursday
66,Bengaluru,2013-11-10,Gold,Bills,Female,265417, India,November,Sunday
67,Greater Mumbai,2013-12-13,Platinum,Bills,Female,358185, India,December,Friday
68,Greater Mumbai,2014-03-22,Gold,Bills,Female,991685, India,March,Saturday
69,Greater Mumbai,2015-01-13,Gold,Bills,Female,533762, India,January,Tuesday
70,Greater Mumbai,2014-05-08,Gold,Bills,Female,829742, India,May,Thursday
71,Delhi,2014-02-18,Silver,Bills,Female,441527, India,February,Tuesday
72,Delhi,2013-10-04,Signature,Bills,Female,550782, India,October,Friday
73,Greater Mumbai,2014-06-14,Platinum,Bills,Female,835872, India,June,Saturday
74,Ahmedabad,2014-08-24,Silver,Bills,Female,540497, India,August,Sunday
75,Greater Mumbai,2015-04-02,Platinum,Bills,Female,525977, India,April,Thursday
76,Greater Mumbai,2014-06-27,Gold,Bills,Female,789393, India,June,Friday
77,Greater Mumbai,2015-02-06,Platinum,Bills,Female,689478, India,February,Friday
78,Bengaluru,2014-03-29,Silver,Bills,Female,499079, India,March,Saturday
79,Ahmedabad,2014-04-22,Platinum,Bills,Female,665107, India,April,Tuesday
80,Greater Mumbai,2014-10-14,Platinum,Bills,Female,998077, India,October,Tuesday
81,Ahmedabad,2014-02-02,Silver,Bills,Female,934205, India,February,Sunday
82,Bengaluru,2015-04-01,Platinum,Bills,Female,823426, India,April,Wednesday
83,Ahmedabad,2015-01-13,Signature,Bills,Female,282910, India,January,Tuesday
84,Bengaluru,2014-03-27,Gold,Bills,Female,418675, India,March,Thursday
85,Ahmedabad,2015-02-17,Silver,Bills,Female,804949, India,February,Tuesday
86,Bengaluru,2015-02-10,Gold,Bills,Female,686601, India,February,Tuesday
87,Greater Mumbai,2014-02-26,Silver,Bills,Female,561220, India,February,Wednesday
88,Greater Mumbai,2015-05-07,Gold,Bills,Female,762534, India,May,Thursday
89,Bengaluru,2014-01-05,Gold,Bills,Female,327947, India,January,Sunday
90,Bengaluru,2014-04-07,Gold,Bills,Female,492986, India,April,Monday
91,Delhi,2015-02-20,Signature,Bills,Female,369237, India,February,Friday
92,Bengaluru,2015-01-19,Platinum,Bills,Female,983839, India,January,Monday
93,Ahmedabad,2014-11-14,Gold,Bills,Female,776716, India,November,Friday
94,Greater Mumbai,2014-07-21,Gold,Bills,Female,664632, India,July,Monday
95,Bengaluru,2015-02-03,Gold,Bills,Female,466727, India,February,Tuesday
96,Bengaluru,2013-11-01,Gold,Bills,Female,896384, India,November,Friday
97,Delhi,2013-12-07,Signature,Bills,Female,712001, India,December,Saturday
98,Greater Mumbai,2014-08-05,Silver,Bills,Female,246865, India,August,Tuesday
99,Greater Mumbai,2015-01-08,Signature,Bills,Female,858729, India,January,Thursday
100,Delhi,2015-04-11,Platinum,Bills,Female,581882, India,April,Saturday
101,Greater Mumbai,2015-02-15,Signature,Bills,Female,646426, India,February,Sunday
102,Bengaluru,2015-03-24,Silver,Bills,Female,687088, India,March,Tuesday
103,Bengaluru,2013-10-13,Signature,Bills,Female,973026, India,October,Sunday
104,Greater Mumbai,2015-04-24,Silver,Bills,Female,944398, India,April,Friday
105,Ahmedabad,2014-11-09,Platinum,Bills,Female,414422, India,November,Sunday
106,Bengaluru,2015-02-04,Signature,Bills,Female,408503, India,February,Wednesday
107,Bengaluru,2014-03-06,Signature,Bills,Female,984466, India,March,Thursday
108,Greater Mumbai,2014-03-27,Gold,Bills,Female,919997, India,March,Thursday
109,Greater Mumbai,2013-11-13,Signature,Bills,Female,535101, India,November,Wednesday
110,Greater Mumbai,2013-10-22,Signature,Bills,Female,978301, India,October,Tuesday
111,Greater Mumbai,2014-09-27,Gold,Bills,Female,880406, India,September,Saturday
112,Ahmedabad,2014-11-14,Silver,Bills,Female,447241, India,November,Friday
113,Bengaluru,2013-10-21,Platinum,Bills,Female,382191, India,October,Monday
114,Bengaluru,2015-05-15,Silver,Bills,Female,775859, India,May,Friday
115,Bengaluru,2014-03-21,Platinum,Bills,Female,832637, India,March,Friday
116,Bengaluru,2015-04-03,Platinum,Bills,Female,458526, India,April,Friday
117,Ahmedabad,2015-04-06,Signature,Bills,Female,440995, India,April,Monday
118,Ahmedabad,2013-11-05,Platinum,Bills,Female,490128, India,November,Tuesday
119,Delhi,2013-10-07,Platinum,Bills,Female,897079, India,October,Monday
120,Delhi,2014-10-31,Gold,Bills,Female,431948, India,October,Friday
121,Bengaluru,2014-04-03,Silver,Bills,Female,228072, India,April,Thursday
122,Delhi,2013-11-21,Gold,Bills,Female,757649, India,November,Thursday
123,Delhi,2014-05-11,Signature,Bills,Female,919877, India,May,Sunday
124,Greater Mumbai,2014-05-23,Gold,Bills,Female,605615, India,May,Friday
125,Bengaluru,2015-05-22,Platinum,Bills,Female,500852, India,May,Friday
126,Greater Mumbai,2015-02-15,Signature,Bills,Female,488136, India,February,Sunday
127,Delhi,2014-06-16,Gold,Bills,Female,937828, India,June,Monday
128,Delhi,2014-01-27,Gold,Bills,Female,315873, India,January,Monday
129,Greater Mumbai,2015-05-20,Silver,Bills,Female,567623, India,May,Wednesday
130,Greater Mumbai,2013-10-29,Platinum,Bills,Female,555123, India,October,Tuesday
131,Bengaluru,2014-04-20,Gold,Bills,Female,498843, India,April,Sunday
132,Greater Mumbai,2014-05-23,Silver,Bills,Female,752610, India,May,Friday
133,Greater Mumbai,2015-03-11,Platinum,Bills,Female,494540, India,March,Wednesday
134,Delhi,2013-10-27,Gold,Bills,Female,996754, India,October,Sunday
135,Ahmedabad,2014-07-14,Signature,Bills,Female,245572, India,July,Monday
136,Delhi,2014-04-18,Gold,Bills,Female,974384, India,April,Friday
137,Ahmedabad,2014-03-25,Silver,Bills,Female,846635, India,March,Tuesday
138,Ahmedabad,2014-09-01,Silver,Bills,Female,635473, India,September,Monday
139,Delhi,2015-03-23,Gold,Bills,Female,224510, India,March,Monday
140,Delhi,2015-01-24,Silver,Bills,Female,478671, India,January,Saturday
141,Greater Mumbai,2013-10-04,Gold,Bills,Female,990700, India,October,Friday
142,Delhi,2014-03-14,Gold,Bills,Female,228565, India,March,Friday
143,Bengaluru,2014-01-03,Silver,Bills,Female,297732, India,January,Friday
144,Greater Mumbai,2014-12-03,Signature,Bills,Female,559262, India,December,Wednesday
145,Bengaluru,2014-07-01,Signature,Bills,Female,809907, India,July,Tuesday
146,Ahmedabad,2014-08-21,Signature,Bills,Female,428316, India,August,Thursday
147,Ahmedabad,2014-03-05,Signature,Bills,Female,275065, India,March,Wednesday
148,Bengaluru,2014-04-20,Silver,Bills,Female,845653, India,April,Sunday
149,Ahmedabad,2013-11-20,Signature,Bills,Female,236296, India,November,Wednesday
150,Bengaluru,2014-09-25,Signature,Bills,Female,440572, India,September,Thursday
151,Ahmedabad,2015-02-06,Gold,Bills,Female,478115, India,February,Friday
152,Bengaluru,2013-10-26,Gold,Bills,Female,897621, India,October,Saturday
153,Greater Mumbai,2015-05-06,Signature,Bills,Female,554281, India,May,Wednesday
154,Delhi,2014-09-30,Silver,Bills,Female,245452, India,September,Tuesday
155,Delhi,2014-01-17,Platinum,Bills,Female,365045, India,January,Friday
156,Greater Mumbai,2015-01-11,Gold,Bills,Female,496047, India,January,Sunday
157,Bengaluru,2015-02-11,Silver,Bills,Female,466814, India,February,Wednesday
158,Bengaluru,2014-11-10,Gold,Bills,Female,835177, India,November,Monday
159,Delhi,2015-01-12,Silver,Bills,Female,219698, India,January,Monday
160,Bengaluru,2014-10-18,Silver,Bills,Female,784541, India,October,Saturday
161,Delhi,2013-10-25,Signature,Bills,Female,576994, India,October,Friday
162,Bengaluru,2015-05-15,Gold,Bills,Female,464663, India,May,Friday
163,Bengaluru,2014-05-03,Platinum,Bills,Female,380270, India,May,Saturday
164,Ahmedabad,2014-10-02,Silver,Bills,Female,772082, India,October,Thursday
165,Delhi,2015-04-09,Gold,Bills,Female,230853, India,April,Thursday
166,Bengaluru,2013-10-06,Signature,Bills,Female,677654, India,October,Sunday
167,Greater Mumbai,2014-02-05,Signature,Bills,Female,929247, India,February,Wednesday
168,Ahmedabad,2015-04-09,Platinum,Bills,Female,851374, India,April,Thursday
169,Ahmedabad,2014-01-19,Platinum,Bills,Female,637600, India,January,Sunday
170,Greater Mumbai,2013-11-09,Platinum,Bills,Female,681749, India,November,Saturday
171,Delhi,2014-03-25,Silver,Bills,Female,847958, India,March,Tuesday
172,Greater Mumbai,2014-02-18,Gold,Bills,Female,877569, India,February,Tuesday
173,Ahmedabad,2013-10-14,Platinum,Bills,Female,450413, India,October,Monday
174,Bengaluru,2015-05-01,Signature,Bills,Female,219041, India,May,Friday
175,Bengaluru,2014-12-31,Gold,Bills,Female,866572, India,December,Wednesday
176,Greater Mumbai,2014-03-26,Signature,Bills,Female,570791, India,March,Wednesday
177,Ahmedabad,2014-04-28,Silver,Bills,Female,705464, India,April,Monday
178,Greater Mumbai,2014-04-06,Signature,Bills,Female,806821, India,April,Sunday
179,Greater Mumbai,2014-03-27,Platinum,Bills,Female,515472, India,March,Thursday
180,Ahmedabad,2014-09-23,Silver,Bills,Female,352207, India,September,Tuesday
181,Ahmedabad,2015-03-04,Gold,Bills,Female,342761, India,March,Wednesday
182,Bengaluru,2014-02-27,Signature,Bills,Female,249099, India,February,Thursday
183,Ahmedabad,2014-08-27,Platinum,Bills,Female,995634, India,August,Wednesday
184,Bengaluru,2014-12-12,Signature,Bills,Female,435097, India,December,Friday
185,Ahmedabad,2014-06-16,Platinum,Bills,Female,797815, India,June,Monday
186,Delhi,2014-01-02,Gold,Bills,Female,326922, India,January,Thursday
187,Bengaluru,2014-12-11,Gold,Bills,Female,396241, India,December,Thursday
188,Delhi,2014-12-14,Gold,Bills,Female,486949, India,December,Sunday
189,Greater Mumbai,2014-01-17,Gold,Bills,Female,333483, India,January,Friday
190,Ahmedabad,2013-10-05,Platinum,Bills,Female,612572, India,October,Saturday
191,Bengaluru,2015-03-18,Silver,Bills,Female,327244, India,March,Wednesday
192,Ahmedabad,2014-02-04,Silver,Bills,Female,955468, India,February,Tuesday
193,Greater Mumbai,2015-02-25,Gold,Bills,Female,927864, India,February,Wednesday
194,Delhi,2014-03-28,Signature,Bills,Female,555220, India,March,Friday
195,Delhi,2014-12-28,Silver,Bills,Female,952640, India,December,Sunday
196,Ahmedabad,2014-05-31,Silver,Bills,Female,695749, India,May,Saturday
197,Greater Mumbai,2014-08-22,Platinum,Bills,Female,365724, India,August,Friday
198,Greater Mumbai,2015-03-03,Platinum,Bills,Female,738108, India,March,Tuesday
199,Ahmedabad,2015-01-17,Platinum,Bills,Female,650785, India,January,Saturday
200,Delhi,2014-10-23,Signature,Bills,Female,611486, India,October,Thursday
201,Bengaluru,2014-08-05,Platinum,Bills,Female,965721, India,August,Tuesday
202,Ahmedabad,2014-10-12,Gold,Bills,Female,413052, India,October,Sunday
203,Ahmedabad,2014-01-22,Silver,Bills,Female,584822, India,January,Wednesday
204,Ahmedabad,2015-03-25,Gold,Bills,Female,980146, India,March,Wednesday
205,Ahmedabad,2014-10-10,Signature,Bills,Female,926072, India,October,Friday
206,Delhi,2014-04-16,Silver,Bills,Female,482394, India,April,Wednesday
207,Bengaluru,2014-02-21,Signature,Bills,Female,718346, India,February,Friday
208,Bengaluru,2014-04-24,Silver,Bills,Female,491598, India,April,Thursday
209,Delhi,2014-09-07,Platinum,Bills,Female,848852, India,September,Sunday
210,Bengaluru,2014-12-28,Gold,Bills,Female,396139, India,December,Sunday
211,Ahmedabad,2014-10-13,Signature,Bills,Female,856974, India,October,Monday
212,Ahmedabad,2015-04-03,Signature,Bills,Female,855990, India,April,Friday
213,Delhi,2015-02-16,Signature,Bills,Female,924776, India,February,Monday
214,Greater Mumbai,2014-04-03,Signature,Bills,Female,204850, India,April,Thursday
215,Delhi,2013-11-03,Platinum,Bills,Female,780669, India,November,Sunday
216,Greater Mumbai,2014-04-17,Signature,Bills,Female,887442, India,April,Thursday
217,Delhi,2014-01-22,Signature,Bills,Female,297820, India,January,Wednesday
218,Delhi,2015-03-14,Signature,Bills,Female,687879, India,March,Saturday
219,Greater Mumbai,2013-10-13,Silver,Bills,Female,738456, India,October,Sunday
220,Delhi,2014-08-24,Platinum,Bills,Female,378535, India,August,Sunday
221,Greater Mumbai,2015-05-09,Silver,Bills,Female,334116, India,May,Saturday
222,Delhi,2014-06-07,Silver,Bills,Female,772360, India,June,Saturday
223,Ahmedabad,2014-11-26,Gold,Bills,Female,580796, India,November,Wednesday
224,Greater Mumbai,2014-10-21,Silver,Bills,Female,855465, India,October,Tuesday
225,Greater Mumbai,2014-06-15,Gold,Bills,Female,978989, India,June,Sunday
226,Ahmedabad,2015-04-25,Gold,Bills,Female,451874, India,April,Saturday
227,Ahmedabad,2014-09-07,Silver,Bills,Female,670750, India,September,Sunday
228,Bengaluru,2015-05-19,Signature,Bills,Female,977951, India,May,Tuesday
229,Delhi,2014-02-23,Platinum,Bills,Female,403466, India,February,Sunday
230,Delhi,2013-10-28,Signature,Bills,Female,861177, India,October,Monday
231,Ahmedabad,2014-12-17,Gold,Bills,Female,528612, India,December,Wednesday
232,Ahmedabad,2014-12-04,Signature,Bills,Female,339670, India,December,Thursday
233,Delhi,2013-11-18,Signature,Bills,Female,963751, India,November,Monday
234,Ahmedabad,2014-11-30,Gold,Bills,Female,761930, India,November,Sunday
235,Ahmedabad,2014-08-21,Signature,Bills,Female,852806, India,August,Thursday
236,Delhi,2014-05-25,Signature,Bills,Female,207755, India,May,Sunday
237,Greater Mumbai,2015-04-19,Gold,Bills,Female,489540, India,April,Sunday
238,Ahmedabad,2014-03-25,Silver,Bills,Female,274395, India,March,Tuesday
239,Bengaluru,2014-02-11,Platinum,Bills,Female,566945, India,February,Tuesday
240,Ahmedabad,2014-12-09,Gold,Bills,Female,705690, India,December,Tuesday
241,Bengaluru,2014-03-25,Gold,Bills,Female,894888, India,March,Tuesday
242,Greater Mumbai,2014-01-02,Platinum,Bills,Female,811899, India,January,Thursday
243,Greater Mumbai,2014-12-25,Silver,Bills,Female,677645, India,December,Thursday
244,Greater Mumbai,2014-10-16,Platinum,Bills,Female,326162, India,October,Thursday
245,Delhi,2015-04-19,Platinum,Bills,Female,316946, India,April,Sunday
246,Delhi,2014-01-20,Platinum,Bills,Female,622373, India,January,Monday
247,Bengaluru,2014-05-10,Signature,Bills,Female,640653, India,May,Saturday
248,Ahmedabad,2015-01-09,Signature,Bills,Female,745493, India,January,Friday
249,Delhi,2013-10-31,Gold,Bills,Female,868021, India,October,Thursday
250,Delhi,2014-11-28,Platinum,Bills,Female,284923, India,November,Friday
251,Bengaluru,2014-07-21,Platinum,Bills,Female,814422, India,July,Monday
252,Bengaluru,2015-04-22,Gold,Bills,Female,599741, India,April,Wednesday
253,Ahmedabad,2014-06-10,Platinum,Bills,Female,804560, India,June,Tuesday
254,Ahmedabad,2015-04-17,Gold,Bills,Female,996291, India,April,Friday
255,Ahmedabad,2013-11-09,Platinum,Bills,Female,477553, India,November,Saturday
256,Delhi,2015-01-02,Gold,Bills,Female,216028, India,January,Friday
257,Greater Mumbai,2015-03-10,Signature,Bills,Female,275427, India,March,Tuesday
258,Delhi,2013-12-22,Silver,Bills,Female,722048, India,December,Sunday
259,Delhi,2015-02-14,Silver,Bills,Female,292365, India,February,Saturday
260,Ahmedabad,2015-01-30,Silver,Bills,Female,400393, India,January,Friday
261,Greater Mumbai,2014-04-01,Platinum,Bills,Female,219720, India,April,Tuesday
262,Delhi,2015-02-15,Signature,Bills,Female,981404, India,February,Sunday
263,Bengaluru,2014-11-24,Signature,Bills,Female,639670, India,November,Monday
264,Bengaluru,2014-08-07,Gold,Bills,Female,814333, India,August,Thursday
265,Ahmedabad,2013-10-17,Gold,Bills,Female,569582, India,October,Thursday
266,Ahmedabad,2014-05-25,Gold,Bills,Female,954111, India,May,Sunday
267,Ahmedabad,2014-05-16,Gold,Bills,Female,635267, India,May,Friday
268,Delhi,2013-10-11,Gold,Bills,Female,393651, India,October,Friday
269,Ahmedabad,2014-06-02,Platinum,Bills,Female,572306, India,June,Monday
270,Ahmedabad,2014-08-06,Silver,Bills,Female,407647, India,August,Wednesday
271,Greater Mumbai,2015-01-26,Gold,Bills,Female,734396, India,January,Monday
272,Delhi,2015-03-02,Platinum,Bills,Female,224414, India,March,Monday
273,Ahmedabad,2014-09-10,Signature,Bills,Female,203194, India,September,Wednesday
274,Greater Mumbai,2015-01-22,Gold,Bills,Female,250410, India,January,Thursday
275,Delhi,2015-04-04,Silver,Bills,Female,830697, India,April,Saturday
276,Greater Mumbai,2014-05-16,Platinum,Bills,Female,790800, India,May,Friday
277,Greater Mumbai,2014-02-22,Silver,Bills,Female,638570, India,February,Saturday
278,Greater Mumbai,2014-08-13,Silver,Bills,Female,380409, India,August,Wednesday
279,Greater Mumbai,2014-04-01,Gold,Bills,Female,601631, India,April,Tuesday
280,Ahmedabad,2014-01-08,Gold,Bills,Female,690534, India,January,Wednesday
281,Ahmedabad,2015-03-05,Silver,Bills,Female,423661, India,March,Thursday
282,Greater Mumbai,2014-12-08,Silver,Bills,Female,936294, India,December,Monday
283,Bengaluru,2014-11-29,Platinum,Bills,Female,537050, India,November,Saturday
284,Delhi,2015-03-08,Silver,Bills,Female,899343, India,March,Sunday
285,Greater Mumbai,2013-11-25,Platinum,Bills,Female,834691, India,November,Monday
286,Ahmedabad,2015-04-13,Silver,Bills,Female,240216, India,April,Monday
287,Greater Mumbai,2014-04-15,Signature,Bills,Female,424370, India,April,Tuesday
288,Delhi,2015-02-13,Silver,Bills,Female,593991, India,February,Friday
289,Greater Mumbai,2014-10-02,Signature,Bills,Female,768467, India,October,Thursday
290,Delhi,2015-02-07,Gold,Bills,Female,781959, India,February,Saturday
291,Bengaluru,2014-12-27,Platinum,Bills,Female,553907, India,December,Saturday
292,Bengaluru,2014-08-04,Platinum,Bills,Female,308622, India,August,Monday
293,Greater Mumbai,2015-05-05,Signature,Bills,Female,912334, India,May,Tuesday
294,Delhi,2015-01-28,Silver,Bills,Female,586474, India,January,Wednesday
295,Delhi,2014-04-06,Gold,Bills,Female,521237, India,April,Sunday
296,Delhi,2013-10-30,Signature,Bills,Female,446266, India,October,Wednesday
297,Greater Mumbai,2014-09-30,Platinum,Bills,Female,511168, India,September,Tuesday
298,Bengaluru,2013-12-28,Signature,Bills,Female,608438, India,December,Saturday
299,Delhi,2014-10-18,Gold,Bills,Female,973519, India,October,Saturday
300,Delhi,2014-11-28,Platinum,Bills,Female,688577, India,November,Friday
301,Bengaluru,2014-05-12,Silver,Bills,Female,686619, India,May,Monday
302,Greater Mumbai,2014-11-06,Signature,Bills,Female,255982, India,November,Thursday
303,Greater Mumbai,2014-03-02,Signature,Bills,Female,464656, India,March,Sunday
304,Delhi,2015-04-19,Signature,Bills,Female,212319, India,April,Sunday
305,Greater Mumbai,2015-04-18,Platinum,Bills,Female,307563, India,April,Saturday
306,Delhi,2015-04-15,Silver,Bills,Female,407564, India,April,Wednesday
307,Bengaluru,2014-10-12,Signature,Bills,Female,331349, India,October,Sunday
308,Delhi,2015-04-14,Silver,Bills,Female,391325, India,April,Tuesday
309,Ahmedabad,2014-10-07,Silver,Bills,Female,530244, India,October,Tuesday
310,Greater Mumbai,2014-04-16,Signature,Bills,Female,668736, India,April,Wednesday
311,Bengaluru,2014-12-03,Gold,Bills,Female,517448, India,December,Wednesday
312,Ahmedabad,2014-08-03,Platinum,Bills,Female,788531, India,August,Sunday
313,Ahmedabad,2014-03-17,Gold,Bills,Female,474729, India,March,Monday
314,Bengaluru,2015-01-16,Platinum,Bills,Female,590841, India,January,Friday
315,Greater Mumbai,2014-01-05,Platinum,Bills,Female,608427, India,January,Sunday
316,Delhi,2015-05-02,Silver,Bills,Female,719835, India,May,Saturday
317,Delhi,2013-12-30,Signature,Bills,Female,375139, India,December,Monday
318,Bengaluru,2014-05-19,Platinum,Bills,Female,229589, India,May,Monday
319,Bengaluru,2014-07-05,Signature,Bills,Female,376453, India,July,Saturday
320,Delhi,2013-10-10,Signature,Bills,Female,360009, India,October,Thursday
321,Ahmedabad,2014-08-03,Signature,Bills,Female,770346, India,August,Sunday
322,Greater Mumbai,2015-05-23,Signature,Bills,Female,489043, India,May,Saturday
323,Bengaluru,2014-11-11,Platinum,Bills,Female,503037, India,November,Tuesday
324,Greater Mumbai,2014-01-11,Platinum,Bills,Female,731261, India,January,Saturday
325,Ahmedabad,2014-02-14,Signature,Bills,Female,262755, India,February,Friday
326,Greater Mumbai,2014-07-16,Gold,Bills,Female,825475, India,July,Wednesday
327,Greater Mumbai,2014-02-24,Platinum,Bills,Female,922630, India,February,Monday
328,Delhi,2014-09-25,Gold,Bills,Female,752172, India,September,Thursday
329,Ahmedabad,2014-06-11,Gold,Bills,Female,418009, India,June,Wednesday
330,Delhi,2014-06-07,Signature,Bills,Female,994537, India,June,Saturday
331,Greater Mumbai,2014-08-02,Silver,Bills,Female,922206, India,August,Saturday
332,Greater Mumbai,2014-05-21,Signature,Bills,Female,389097, India,May,Wednesday
333,Bengaluru,2015-04-04,Signature,Bills,Female,880778, India,April,Saturday
334,Greater Mumbai,2015-03-03,Gold,Bills,Female,327971, India,March,Tuesday
335,Bengaluru,2014-03-02,Signature,Bills,Female,689201, India,March,Sunday
336,Bengaluru,2015-05-17,Silver,Bills,Female,792440, India,May,Sunday
337,Bengaluru,2015-03-17,Signature,Bills,Female,602222, India,March,Tuesday
338,Ahmedabad,2014-09-03,Platinum,Bills,Female,502399, India,September,Wednesday
339,Ahmedabad,2014-03-17,Silver,Bills,Female,272804, India,March,Monday
340,Bengaluru,2014-06-06,Platinum,Bills,Female,613280, India,June,Friday
341,Delhi,2014-10-17,Signature,Bills,Female,876491, India,October,Friday
342,Bengaluru,2014-02-25,Silver,Bills,Female,820217, India,February,Tuesday
343,Greater Mumbai,2014-09-06,Signature,Bills,Female,994184, India,September,Saturday
344,Ahmedabad,2013-12-07,Platinum,Bills,Female,515263, India,December,Saturday
345,Ahmedabad,2014-08-28,Signature,Bills,Female,338527, India,August,Thursday
346,Ahmedabad,2014-06-16,Silver,Bills,Female,934683, India,June,Monday
347,Ahmedabad,2014-07-07,Signature,Bills,Female,454570, India,July,Monday
348,Greater Mumbai,2015-01-28,Gold,Bills,Female,654519, India,January,Wednesday
349,Ahmedabad,2014-06-12,Gold,Bills,Female,958047, India,June,Thursday
350,Bengaluru,2013-11-03,Silver,Bills,Female,465281, India,November,Sunday
351,Ahmedabad,2013-12-31,Signature,Bills,Female,653161, India,December,Tuesday
